Molecule_ID,E_ST,condition E_ST,S₁,condition S₁,T₁,condition T₁
TADF-M-02929,270.0,simulation,3070.0,simulation,2790.0,simulation
TADF-M-02930,,,3250.0,simulation,3180.0,simulation
TADF-M-02931,,,3190.0,simulation,3150.0,simulation
TADF-M-02932,297.0,simulation,3099.0,simulation,2802.0,simulation
TADF-M-02933,182.0,simulation,2699.0,simulation,2517.0,simulation
TADF-M-00730,100.0,simulation,,,,
TADF-M-02936,30.0,simulation,2420.0,simulation,2390.0,simulation
TADF-M-02202,110.0,simulation,,,,
TADF-M-02203,130.0,simulation,,,,
TADF-M-00801,10.0,simulation,2330.0,simulation,2320.0,simulation
TADF-M-02211,120.0,simulation,2170.0,simulation,2050.0,simulation
TADF-M-02212,110.0,simulation,2160.0,simulation,2050.0,simulation
TADF-M-02213,160.0,simulation,,,,
TADF-M-02214,90.0,simulation,,,,
TADF-M-02787,17.0,simulation,2180.0,simulation,2163.0,simulation
TADF-M-02939,13.0,simulation,1981.0,simulation,1968.0,simulation
TADF-M-02940,28.0,simulation,1934.0,simulation,1906.0,simulation
TADF-M-02941,12.0,simulation,1728.0,simulation,1716.0,simulation
TADF-M-02215,,,2580.0,simulation,2380.0,simulation
TADF-M-02063,190.0,simulation,,,,
TADF-M-02216,10.0,simulation,,,,
TADF-M-02946,,,3580.0,simulation,2850.0,simulation
TADF-M-02947,,,3590.0,simulation,2850.0,simulation
TADF-M-02222,90.0,simulation,,,,
TADF-M-02223,20.0,simulation,,,,
TADF-M-00447,150.0,simulation,,,,
TADF-M-00449,240.0,simulation,,,,
TADF-M-00448,230.0,simulation,,,,
